Season,Name,Age,Born,Flag,B,T,Ht,Wt,DoB,Yrs,GP,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,All-Star,HOF
1909,Eddie Cicotte,25,US,,B,R,"5' 9""",175,"Jun 19, 1884",3,27,17,27,27,27,0,0,0,0,0,0,0,0,0,-,0,0,2,No,No
1909,Ray Collins,22,US,,L,L,"6' 1""",185,"Feb 11, 1887",1st,12,8,12,12,12,0,0,0,0,0,0,0,0,0,-,0,0,0.7,No,No
1909,Babe Danzig,22,US,,R,R,"6' 2""",205,"Apr 30, 1887",1st,6,3,6,3,0,0,3,0,0,0,0,0,0,0,-,3,0,0,No,No
1909,Pat Donahue,24,US,,R,R,"6' 0""",175,"Nov 3, 1884",2,67,51,67,58,0,58,0,0,0,0,0,0,0,0,-,8,1,0.7,No,No
1909,Charlie French,25,US,,L,R,"5' 6""",140,"Oct 12, 1883",1st,50,46,50,50,0,0,0,28,0,23,0,0,0,0,-,1,0,0.6,No,No
1909,Larry Gardner,23,US,,L,R,"5' 8""",165,"May 13, 1886",2,22,6,22,16,0,0,0,1,8,6,0,0,1,1,-,5,2,0.5,No,No
1909,Doc Gessler,28,US,,L,L,"5' 10""",180,"Dec 23, 1880",6,111,105,111,109,0,0,0,0,0,0,0,0,109,109,-,2,0,1.7,No,No
1909,Charley Hall,24,US,,L,R,"6' 1""",187,"Jul 27, 1884",3,11,7,11,11,11,0,0,0,0,0,0,0,0,0,-,0,0,0.3,No,No
1909,Harry Hooper,21,US,,L,R,"5' 10""",168,"Aug 24, 1887",1st,83,69,83,74,0,0,0,0,0,0,64,5,8,74,-,7,3,$1,No,Yes
1909,Paul Howard,25,US,,R,R,"5' 8""",170,"May 20, 1884",1st,6,4,6,6,0,0,0,0,0,0,2,0,4,6,-,1,0,0.1,No,No
1909,Ed Karger,26,US,,L,L,"5' 11""",185,"May 6, 1883",4,12,6,12,12,12,0,0,0,0,0,0,0,0,0,-,0,0,0.5,No,No
1909,Harry Lord,27,US,,L,R,"5' 10""",165,"Mar 8, 1882",3,136,134,136,134,0,0,0,0,134,0,0,0,0,0,-,1,1,3.9,No,No
1909,Bunny Madden,26,US,,R,R,"5' 10""",190,"Sep 14, 1882",1st,12,2,12,7,0,7,0,0,0,0,0,0,0,0,-,4,1,0.1,No,No
1909,William Matthews,32,US,,,R,"6' 1""",,"Jan 5, 1877",1st,5,1,5,5,5,0,0,0,0,0,0,0,0,0,-,0,0,-0.2,No,No
1909,Amby McConnell,26,US,,L,R,"5' 7""",150,"Apr 29, 1883",2,121,120,121,121,0,0,0,121,0,0,0,0,0,0,-,0,0,1.9,No,No
1909,Cy Morgan,30,US,,R,R,"6' 0""",175,"Nov 10, 1878",6,12,10,12,12,12,0,0,0,0,0,0,0,0,0,-,0,0,1,No,No
1909,Harry Niles,28,US,,R,R,"5' 8""",175,"Sep 10, 1880",4,145,144,145,144,0,0,0,6,14,9,87,9,25,118,-,1,0,0.6,No,No
1909,Chet Nourse,21,US,,R,R,"6' 3""",185,"Aug 7, 1887",1st,3,0,3,3,3,0,0,0,0,0,0,0,0,0,-,0,0,-0.3,No,No
1909,Larry Pape,23,US,,R,R,"5' 11""",175,"Jul 21, 1885",1st,11,3,11,11,11,0,0,0,0,0,0,0,0,0,-,0,0,0.9,No,No
1909,Jack Ryan,24,US,,L,R,"5' 10""",165,"Sep 19, 1884",2,14,8,14,13,13,0,0,0,0,0,0,0,0,0,-,1,0,-0.7,No,No
1909,Victor Schlitzer,24,US,,R,R,"5' 11""",175,"Dec 4, 1884",2,13,8,13,13,13,0,0,0,0,0,0,0,0,0,-,0,0,-0.4,No,No
1909,Charlie Smith,29,US,,R,R,"6' 1""",185,"Apr 20, 1880",5,3,3,3,3,3,0,0,0,0,0,0,0,0,0,-,0,0,0.7,No,No
1909,Tris Speaker,21,US,,L,L,"5' 11""",193,"Apr 4, 1888",3,143,142,143,142,0,0,0,0,0,0,0,142,0,142,-,1,0,6.3,No,Yes
1909,Tubby Spencer,25,US,,R,R,"5' 10""",215,"Jan 26, 1884",5,29,22,29,26,0,26,0,0,0,0,0,0,0,0,-,3,0,-0.4,No,No
1909,Jake Stahl,30,US,,R,R,"6' 2""",195,"Apr 13, 1879",6,128,126,128,127,0,0,127,0,0,0,0,0,0,0,-,1,0,3.4,No,No
1909,Elmer Steele,25,US,,B,R,"5' 11""",200,"May 17, 1884",3,16,8,16,16,16,0,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1909,Jack Thoney,29,US,,R,R,"5' 10""",175,"Dec 8, 1879",5,14,9,14,11,0,0,0,0,0,0,8,1,3,11,-,2,1,-0.3,No,No
1909,Heinie Wagner,28,US,,R,R,"5' 9""",183,"Sep 23, 1880",5,124,123,124,124,0,0,0,1,0,123,0,0,0,0,-,0,0,3.3,No,No
1909,Harry Wolter,24,US,,L,R,"5' 10""",175,"Jul 11, 1884",2,58,30,58,37,11,0,18,0,0,0,0,0,9,9,-,17,5,-0.7,No,No
1909,Smoky Joe Wood,19,US,,R,R,"5' 11""",180,"Oct 25, 1889",2,24,19,24,24,24,0,0,0,0,0,0,0,0,0,-,0,0,2.9,No,No
1909,Steve Yerkes,21,US,,R,R,"5' 9""",165,"May 15, 1888",1st,5,1,5,2,0,0,0,0,0,2,0,0,0,0,-,3,0,0,No,No
1910,Frank Arellanes,28,US,,R,R,"6' 0""",180,"Jan 28, 1882",3,18,13,18,18,18,0,0,0,0,0,0,0,0,0,-,0,0,0.9,No,No
1910,Frank Barberich,28,US,,B,R,"5' 10""",175,"Feb 3, 1882",2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,-,0,0,-0.3,No,No
1910,Hugh Bradley,25,US,,R,R,"5' 10""",175,"May 23, 1885",1st,32,16,32,25,0,3,21,0,0,0,0,0,1,1,-,8,0,-0.3,No,No
1910,Bill Carrigan,26,US,,R,R,"5' 9""",175,"Oct 22, 1883",4,115,99,115,110,0,110,0,0,0,0,0,0,0,0,-,6,0,0.2,No,No
1910,Eddie Cicotte,26,US,,B,R,"5' 9""",175,"Jun 19, 1884",4,36,30,36,36,36,0,0,0,0,0,0,0,0,0,-,0,0,3,No,No
1910,Ray Collins,23,US,,L,L,"6' 1""",185,"Feb 11, 1887",2,35,26,35,35,35,0,0,0,0,0,0,0,0,0,-,0,0,6,No,No
1910,Pat Donahue,25,US,,R,R,"6' 0""",175,"Nov 3, 1884",3,2,1,2,1,0,1,0,0,0,0,0,0,0,0,-,1,0,-0.1,No,No
1910,Clyde Engle,26,US,,R,R,"5' 10""",190,"Mar 19, 1884",2,107,90,107,100,0,0,0,27,51,7,1,13,1,15,-,7,0,2.7,No,No
1910,Charlie French,26,US,,L,R,"5' 6""",140,"Oct 12, 1883",2,9,8,9,8,0,0,0,8,0,0,0,0,0,0,-,1,0,-0.2,No,No
1910,Larry Gardner,24,US,,L,R,"5' 8""",165,"May 13, 1886",3,115,113,115,114,0,0,0,114,0,0,0,0,0,0,-,1,0,3.1,No,No
1910,Charley Hall,25,US,,L,R,"6' 1""",187,"Jul 27, 1884",4,47,18,47,38,35,0,0,0,0,0,0,1,2,3,-,9,0,3.2,No,No
1910,Ed Hearne,22,US,,R,R,"5' 9""",160,"Sep 17, 1887",1st,2,2,2,2,0,0,0,0,0,2,0,0,0,0,-,0,0,-0.1,No,No
1910,Harry Hooper,22,US,,L,R,"5' 10""",168,"Aug 24, 1887",2,155,155,155,155,0,0,0,0,0,0,9,6,141,155,-,0,0,2.9,No,Yes
1910,Ben Hunt,21,US,,L,L,"6' 5""",190,"Nov 10, 1888",1st,7,7,7,7,7,0,0,0,0,0,0,0,0,0,-,0,0,-0.3,No,No
1910,Ed Karger,27,US,,L,L,"5' 11""",185,"May 6, 1883",5,27,25,27,27,27,0,0,0,0,0,0,0,0,0,-,0,0,3.8,No,No
1910,Red Kleinow,32,US,,R,R,"5' 10""",165,"Jul 20, 1877",7,51,48,51,49,0,49,0,0,0,0,0,0,0,0,-,2,0,0,No,No
1910,Dutch Lerchen,21,US,,R,R,"5' 8""",160,"Apr 4, 1889",1st,6,3,6,6,0,0,0,0,0,6,0,0,0,0,-,0,0,-0.4,No,No
1910,Louis LeRoy,31,US,,R,R,"5' 10""",180,"Feb 18, 1879",3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,-0.4,No,No
1910,Duffy Lewis,22,US,,R,R,"5' 10""",165,"Apr 18, 1888",1st,151,148,151,149,0,0,0,0,0,0,149,0,0,149,-,2,0,3.5,No,No
1910,Harry Lord,28,US,,L,R,"5' 10""",165,"Mar 8, 1882",4,77,71,77,71,0,0,0,0,70,1,0,0,0,0,-,6,0,1.1,No,No
1910,Bunny Madden,27,US,,R,R,"5' 10""",190,"Sep 14, 1882",2,14,9,14,12,0,12,0,0,0,0,0,0,0,0,-,2,0,0.3,No,No
1910,Chris Mahoney,25,US,,R,R,"5' 9""",160,"Jun 11, 1885",1st,3,2,3,3,2,0,0,0,0,0,0,0,1,1,-,0,0,-0.5,No,No
1910,Amby McConnell,27,US,,L,R,"5' 7""",150,"Apr 29, 1883",3,12,10,12,10,0,0,0,10,0,0,0,0,0,0,-,1,1,0.2,No,No
1910,Marty McHale,23,US,,R,R,"5' 11""",174,"Oct 30, 1886",1st,2,2,2,2,2,0,0,0,0,0,0,0,0,0,-,0,0,-0.2,No,No
1910,Doc Moskiman,31,US,,R,R,"6' 0""",170,"Dec 20, 1878",1st,5,2,5,3,0,0,2,0,0,0,0,0,1,1,-,2,0,-0.1,No,No
1910,Hap Myers,23,US,,R,R,"6' 3""",175,"Apr 8, 1887",1st,3,2,3,2,0,0,0,0,0,0,0,0,2,2,-,1,0,0,No,No
1910,Harry Niles,29,US,,R,R,"5' 8""",175,"Sep 10, 1880",5,18,13,18,15,0,0,0,0,0,0,3,0,12,15,-,4,0,0,No,No
1910,Ralph Pond,22,US,,,R,"5' 9""",,"May 4, 1888",1st,1,1,1,1,0,0,0,0,0,0,0,1,0,1,-,0,0,0,No,No
1910,Billy Purtell,24,US,,R,R,"5' 9""",170,"Jan 6, 1886",3,49,49,49,49,0,0,0,1,41,9,0,0,0,0,-,0,0,0.5,No,No
1910,Charlie Smith,30,US,,R,R,"6' 1""",185,"Apr 20, 1880",6,24,18,24,24,24,0,0,0,0,0,0,0,0,0,-,0,0,1.6,No,No
1910,Frank Smith,30,US,,R,R,"5' 10""",194,"Oct 28, 1879",7,4,3,4,4,4,0,0,0,0,0,0,0,0,0,-,0,0,-0.6,No,No
1910,Tris Speaker,22,US,,L,L,"5' 11""",193,"Apr 4, 1888",4,141,140,141,140,0,0,0,0,0,0,0,140,0,140,-,1,0,7.7,No,Yes
1910,Jake Stahl,31,US,,R,R,"6' 2""",195,"Apr 13, 1879",7,144,142,144,142,0,0,142,0,0,0,0,0,0,0,-,2,0,3.8,No,No
1910,Heinie Wagner,29,US,,R,R,"5' 9""",183,"Sep 23, 1880",6,142,139,142,140,0,0,0,0,0,140,0,0,0,0,-,2,0,3.9,No,No
1910,Smoky Joe Wood,20,US,,R,R,"5' 11""",180,"Oct 25, 1889",3,35,17,35,35,35,0,0,0,0,0,0,0,0,0,-,0,0,2.6,No,No
1911,Tracy Baker,19,US,,R,R,"6' 1""",180,"Nov 7, 1891",1st,1,0,1,1,0,0,1,0,0,0,0,0,0,0,-,0,0,0,No,No
1911,Hugh Bradley,26,US,,R,R,"5' 10""",175,"May 23, 1885",2,12,12,12,12,0,0,12,0,0,0,0,0,0,0,-,0,0,0.2,No,No
1911,Jack Bushelman,24,US,,R,R,"6' 2""",175,"Aug 29, 1886",2,3,1,3,3,3,0,0,0,0,0,0,0,0,0,-,0,0,-0.3,No,No
1911,Albin Carlstrom,24,US,,R,R,"6' 0""",167,"Oct 26, 1886",1st,2,2,2,2,0,0,0,0,0,2,0,0,0,0,-,0,0,-0.1,No,No
1911,Bill Carrigan,27,US,,R,R,"5' 9""",175,"Oct 22, 1883",5,72,63,72,68,0,62,6,0,0,0,0,0,0,0,-,4,0,2.1,No,No
1911,Eddie Cicotte,27,US,,B,R,"5' 9""",175,"Jun 19, 1884",5,35,25,35,35,35,0,0,0,0,0,0,0,0,0,-,0,0,1.1,No,No
1911,Ray Collins,24,US,,L,L,"6' 1""",185,"Feb 11, 1887",3,31,24,31,31,31,0,0,0,0,0,0,0,0,0,-,0,0,3.9,No,No
1911,Clyde Engle,27,US,,R,R,"5' 10""",190,"Mar 19, 1884",3,146,135,146,139,0,0,66,13,51,0,4,9,0,12,-,7,1,1.2,No,No
1911,Larry Gardner,25,US,,L,R,"5' 8""",165,"May 13, 1886",4,138,134,138,134,0,0,0,62,72,0,0,0,0,0,-,4,0,4.2,No,No
1911,Joe Giannini,22,US,,L,R,"5' 8""",155,"Sep 8, 1888",1st,1,1,1,1,0,0,0,0,0,1,0,0,0,0,-,0,0,0.1,No,No
1911,Hy Gunning,22,US,,L,R,"6' 1""",189,"Aug 6, 1888",1st,4,2,4,4,0,0,4,0,0,0,0,0,0,0,-,0,0,-0.1,No,No
1911,Casey Hageman,24,US,,L,R,"5' 10""",186,"May 12, 1887",1st,2,2,2,2,2,0,0,0,0,0,0,0,0,0,-,0,0,0.2,No,No
1911,Charley Hall,26,US,,L,R,"6' 1""",187,"Jul 27, 1884",5,40,10,40,32,32,0,0,0,0,0,0,0,0,0,-,7,1,0.8,No,No
1911,Olaf Henriksen,23,DK,,L,L,"5' 7""",158,"Apr 26, 1888",1st,27,25,27,25,0,0,0,0,0,0,5,0,20,25,-,2,0,0.9,No,No
1911,Harry Hooper,23,US,,L,R,"5' 10""",168,"Aug 24, 1887",3,130,130,130,130,0,0,0,0,0,0,0,0,130,130,-,0,0,3.9,No,Yes
1911,Hal Janvrin,18,US,,R,R,"5' 11""",168,"Aug 27, 1892",1st,10,7,10,9,0,0,4,0,4,0,0,1,0,1,-,0,2,-0.3,No,No
1911,Ed Karger,28,US,,L,L,"5' 11""",185,"May 6, 1883",6,25,18,25,25,25,0,0,0,0,0,0,0,0,0,-,0,0,1.2,No,No
1911,Jack Killilay,24,US,,R,R,"5' 11""",165,"May 24, 1887",1st,14,7,14,14,14,0,0,0,0,0,0,0,0,0,-,0,0,1.2,No,No
1911,Red Kleinow,33,US,,R,R,"5' 10""",165,"Jul 20, 1877",8,8,5,8,8,0,8,0,0,0,0,0,0,0,0,-,0,0,-0.1,No,No
1911,Duffy Lewis,23,US,,R,R,"5' 10""",165,"Apr 18, 1888",2,130,123,130,125,0,0,0,0,0,0,125,0,0,125,-,5,0,2.6,No,No
1911,Jack Lewis,27,US,,R,R,"5' 8""",158,"Feb 14, 1884",1st,18,18,18,18,0,0,0,18,0,0,0,0,0,0,-,0,0,0.2,No,No
1911,Walter Lonergan,25,US,,R,R,"5' 7""",156,"Sep 22, 1885",1st,10,8,10,9,0,0,0,7,1,1,0,0,0,0,-,0,1,-0.2,No,No
1911,Bunny Madden,28,US,,R,R,"5' 10""",190,"Sep 14, 1882",3,4,3,4,4,0,4,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1911,Marty McHale,24,US,,R,R,"5' 11""",174,"Oct 30, 1886",2,4,1,4,4,4,0,0,0,0,0,0,0,0,0,-,0,0,-0.6,No,No
1911,Walter Moser,30,US,,R,R,"5' 9""",170,"Feb 27, 1881",2,6,3,6,6,6,0,0,0,0,0,0,0,0,0,-,0,0,-1.2,No,No
1911,Hap Myers,24,US,,R,R,"6' 3""",175,"Apr 8, 1887",2,15,11,15,11,0,0,11,0,0,0,0,0,0,0,-,0,4,0.3,No,No
1911,Judge Nagle,31,US,,R,R,"6' 0""",176,"Mar 10, 1880",1st,5,1,5,5,5,0,0,0,0,0,0,0,0,0,-,0,0,0.3,No,No
1911,Les Nunamaker,22,US,,R,R,"6' 2""",190,"Jan 25, 1889",1st,63,56,63,59,0,59,0,0,0,0,0,0,0,0,-,3,1,0.4,No,No
1911,Buck O'Brien,29,US,,R,R,"5' 10""",188,"May 9, 1882",1st,6,5,6,6,6,0,0,0,0,0,0,0,0,0,-,0,0,2.1,No,No
1911,Larry Pape,25,US,,R,R,"5' 11""",175,"Jul 21, 1885",2,27,19,27,27,27,0,0,0,0,0,0,0,0,0,-,0,0,3.7,No,No
1911,Billy Purtell,25,US,,R,R,"5' 9""",170,"Jan 6, 1886",4,27,19,27,22,0,0,0,3,15,3,0,1,0,1,-,5,1,0.3,No,No
1911,Joe Riggert,24,US,,R,R,"5' 9""",170,"Dec 11, 1886",1st,51,35,51,39,0,0,0,0,0,0,22,11,6,39,-,10,2,-0.2,No,No
1911,Charlie Smith,31,US,,R,R,"6' 1""",185,"Apr 20, 1880",7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,-0.2,No,No
1911,Frank Smith,31,US,,R,R,"5' 10""",194,"Oct 28, 1879",8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,-0.2,No,No
1911,Tris Speaker,23,US,,L,L,"5' 11""",193,"Apr 4, 1888",5,141,138,141,138,0,0,0,0,0,0,0,138,0,138,-,3,0,6.2,No,Yes
1911,Blaine Thomas,22,US,,R,R,"5' 10""",165,"Aug, 1888",1st,2,2,2,2,2,0,0,0,0,0,0,0,0,0,-,0,0,0.1,No,No
1911,Jack Thoney,31,US,,R,R,"5' 10""",175,"Dec 8, 1879",6,27,0,27,0,0,0,0,0,0,0,0,0,0,0,-,23,4,0,No,No
1911,Tony Tonneman,29,US,,R,R,"5' 10""",175,"Sep 10, 1881",1st,2,2,2,2,0,2,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1911,Heinie Wagner,30,US,,R,R,"5' 9""",183,"Sep 23, 1880",7,81,71,81,71,0,0,0,40,0,31,0,0,0,0,-,9,1,0.7,No,No
1911,Alva Williams,29,US,,R,R,"5' 11""",187,"Jan 31, 1882",1st,95,82,95,95,0,38,57,0,0,0,0,0,0,0,-,0,0,-0.3,No,No
1911,Les Wilson,25,US,,L,R,"5' 11""",170,"Jul 17, 1885",1st,6,1,6,3,0,0,0,0,0,0,2,0,1,3,-,2,1,-0.1,No,No
1911,Smoky Joe Wood,21,US,,R,R,"5' 11""",180,"Oct 25, 1889",4,44,33,44,44,44,0,0,0,0,0,0,0,0,0,-,0,0,6.3,No,No
1911,Steve Yerkes,23,US,,R,R,"5' 9""",165,"May 15, 1888",2,142,141,142,141,0,0,0,14,11,116,0,0,0,0,-,1,0,2.5,No,No
1912,Neal Ball,31,US,,R,R,"5' 7""",145,"Apr 22, 1881",6,19,9,19,12,0,0,0,12,0,0,0,0,0,0,-,6,1,-0.1,No,No
1912,Hugh Bedient,22,US,,R,R,"6' 0""",185,"Oct 23, 1889",1st,41,28,41,41,41,0,0,0,0,0,0,0,0,0,-,0,0,$4,No,No
1912,Hugh Bradley,27,US,,R,R,"5' 10""",175,"May 23, 1885",3,40,37,40,40,0,0,40,0,0,0,0,0,0,0,-,0,0,-0.2,No,No
1912,Jack Bushelman,25,US,,R,R,"6' 2""",175,"Aug 29, 1886",3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1912,Forrest Cady,26,US,,R,R,"6' 2""",179,"Jan 26, 1886",1st,47,40,47,44,0,40,4,0,0,0,0,0,0,0,-,3,0,1.5,No,No
1912,Bill Carrigan,28,US,,R,R,"5' 9""",175,"Oct 22, 1883",6,87,83,87,87,0,87,0,0,0,0,0,0,0,0,-,0,0,1.4,No,No
1912,Eddie Cicotte,28,US,,B,R,"5' 9""",175,"Jun 19, 1884",6,9,6,9,9,9,0,0,0,0,0,0,0,0,0,-,0,0,-0.6,No,No
1912,Ray Collins,25,US,,L,L,"6' 1""",185,"Feb 11, 1887",4,27,24,27,27,27,0,0,0,0,0,0,0,0,0,-,0,0,5.8,No,No
1912,Clyde Engle,28,US,,R,R,"5' 10""",190,"Mar 19, 1884",4,58,48,58,51,0,0,24,12,13,2,0,0,1,1,-,8,0,0.3,No,No
